birthday.day,birthday.month,birthday.year,dates.entry_date,dates.leaving_date,legislature.end_year,legislature.number,legislature.raw_name,legislature.roman_number,legislature.start_year,mail,name,party.name,party.url,province,social.facebook,social.linkedin,social.twitter,url,web
0,0,0,07/05/2004,15/01/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Moscoso del Prado Hernández, Juan","Ripa González, Vicente",http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado&idDiputado=81&idLegislatura=8,Navarra,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=356&idLegislatura=8,
0,0,0,03/07/2007,01/04/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Muñoz de Diego, María Montserrat","Pérez Martínez, Ángel",http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado&idDiputado=192&idLegislatura=8,Madrid,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=394&idLegislatura=8,
0,0,0,26/03/2004,01/04/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Muñoz González, Pedro José",G.P. Socialista ( GS ),http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/composicionGrupo&idGrupo=201&idTipo=2&idLegislatura=8,Ávila,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=202&idLegislatura=8,
0,0,0,11/06/2007,15/01/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Muñoz Resta, Miriam","Antich Oliver, Francesc",http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado&idDiputado=15&idLegislatura=8,Illes,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=384&idLegislatura=8,
0,0,0,23/03/2004,15/01/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Muñoz Salvà, María Gràcia",G.P. Socialista ( GS ),http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/composicionGrupo&idGrupo=201&idTipo=2&idLegislatura=8,Illes,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=14&idLegislatura=8,
0,0,0,31/03/2004,15/01/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Muñoz Santamaría, Lourdes",G.P. Socialista ( GS ),http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/composicionGrupo&idGrupo=201&idTipo=2&idLegislatura=8,Barcelona,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=333&idLegislatura=8,
0,0,0,01/04/2004,15/01/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Muñoz Uriol, Ángeles",G.P. Popular ( GP ),http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/composicionGrupo&idGrupo=202&idTipo=2&idLegislatura=8,Málaga,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=346&idLegislatura=8,
0,0,0,23/03/2004,15/01/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Murcia Barceló, Francisco Vicente",G.P. Popular ( GP ),http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/composicionGrupo&idGrupo=202&idTipo=2&idLegislatura=8,Alicante,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=31&idLegislatura=8,
0,0,0,29/03/2004,15/01/2008,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Nadal i Aymerich, María Dolors",G.P. Popular ( GP ),http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/composicionGrupo&idGrupo=202&idTipo=2&idLegislatura=8,Barcelona,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=234&idLegislatura=8,
0,0,0,23/03/2004,18/06/2007,2008,8,VIII Legislatura ( 2004-2008 ) ,VIII,2004,,"Naharro de Mora, María Encarnación","González Moraga, José Miguel",http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado&idDiputado=387&idLegislatura=8,Albacete,,,,http://www.congreso.es/portal/page/portal/Congreso/Congreso/Diputados/BusqForm?_piref73_1333155_73_1333154_1333154.next_page=/wc/fichaDiputado?idDiputado=17&idLegislatura=8,
